"in.sqft","in.bathroom_spot_vent_hour","in.bedrooms","in.ceiling_fan","in.clothes_dryer","in.clothes_washer","in.clothes_washer_presence","in.cooking_range","in.cooling_setpoint","in.cooling_setpoint_has_offset","in.cooling_setpoint_offset_magnitude","in.cooling_setpoint_offset_period","in.dishwasher","in.ducts","in.federal_poverty_level","in.geometry_floor_area","in.geometry_floor_area_bin","in.geometry_foundation_type","in.geometry_garage","in.geometry_stories","in.geometry_stories_low_rise","in.geometry_wall_exterior_finish","in.geometry_wall_type","in.has_pv","in.heating_fuel","in.heating_setpoint","in.heating_setpoint_has_offset","in.heating_setpoint_offset_magnitude","in.heating_setpoint_offset_period","in.hot_water_fixtures","in.hvac_cooling_efficiency","in.hvac_cooling_partial_space_conditioning","in.hvac_cooling_type","in.hvac_has_ducts","in.hvac_has_zonal_electric_heating","in.hvac_heating_efficiency","in.hvac_heating_type","in.hvac_heating_type_and_fuel","in.income","in.income_recs_2015","in.income_recs_2020","in.infiltration","in.insulation_ceiling","in.insulation_floor","in.insulation_foundation_wall","in.insulation_rim_joist","in.insulation_roof","in.insulation_slab","in.insulation_wall","in.lighting","in.misc_extra_refrigerator","in.misc_freezer","in.misc_gas_fireplace","in.misc_gas_grill","in.misc_gas_lighting","in.misc_hot_tub_spa","in.misc_pool","in.misc_pool_heater","in.misc_pool_pump","in.misc_well_pump","in.occupants","in.orientation","in.plug_load_diversity","in.puma_metro_status","in.pv_orientation","in.pv_system_size","in.range_spot_vent_hour","in.refrigerator","in.roof_material","in.usage_level","in.vacancy_status","in.vintage","in.vintage_acs","in.water_heater_efficiency","in.water_heater_fuel","in.weather_file_city","in.window_areas","in.windows","upgrade.hvac_heating_efficiency","Dry Bulb Temperature [°C]","Relative Humidity [%]","Wind Speed [m/s]","Wind Direction [Deg]","Global Horizontal Radiation [W/m2]","Direct Normal Radiation [W/m2]","Diffuse Horizontal Radiation [W/m2]","energy_sum"
"885","Hour6","2","Standard Efficiency","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Electric, 120% Usage","60","No","0F","None","318 Rated kWh, 120% Usage","10% Leakage, R-4","400%+","750-999","0-1499","Ambient","None","1","1","Wood, Medium/Dark","Wood Frame","No","Electricity","70","No","0F","None","200% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","6 ACH50","R-19","Ceiling R-13","None","None","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","None","EF 12, National Average","None","None","None","None","None","None","None","None","3","North","200%","In metro area, not/partially in principal city","None","None","Hour15","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F18 B18 L18 R18","Single, Clear, Non-metal, Exterior Clear Storm","MSHP, SEER 24, 13 HSPF",32.2,61.64,5.1,190,701,667.5,180,1.521
"885","Hour6","2","Standard Efficiency","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Electric, 120% Usage","60","No","0F","None","318 Rated kWh, 120% Usage","10% Leakage, R-4","400%+","750-999","0-1499","Ambient","None","1","1","Wood, Medium/Dark","Wood Frame","No","Electricity","70","No","0F","None","200% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","80000-99999","80000-99999","60000-99999","6 ACH50","R-19","Ceiling R-13","None","None","Unfinished, Uninsulated","None","Wood Stud, R-11","100% Incandescent","None","EF 12, National Average","None","None","None","None","None","None","None","None","3","North","200%","In metro area, not/partially in principal city","None","None","Hour15","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","1980s","1980-99","Electric Standard","Electricity","Charleston Muni","F18 B18 L18 R18","Single, Clear, Non-metal, Exterior Clear Storm","MSHP, SEER 24, 13 HSPF",29.67,79.37,2.4,200,630.5,510.5,227.5,1.134
"2663","Hour7","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","78","No","0F","None","None","20% Leakage, R-4","400%+","2500-2999","2500-3999","Slab","2 Car","2","2","None","Brick","No","Electricity","75","Yes","3F","Night +4h","100% Usage","AC, SEER 13","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","200000+","140000+","150000+","15 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-11","100% CFL","None","None","None","None","None","None","None","None","None","None","4","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 17.6, 100% Usage","Tile, Concrete","Medium","Occupied","1990s","1980-99","Electric Standard","Electricity","Charleston Muni","F9 B9 L9 R9","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",30,41.73,3.6,40,639,450,288,0.725
"2663","Hour7","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","78","No","0F","None","None","20% Leakage, R-4","400%+","2500-2999","2500-3999","Slab","2 Car","2","2","None","Brick","No","Electricity","75","Yes","3F","Night +4h","100% Usage","AC, SEER 13","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","200000+","140000+","150000+","15 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-11","100% CFL","None","None","None","None","None","None","None","None","None","None","4","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 17.6, 100% Usage","Tile, Concrete","Medium","Occupied","1990s","1980-99","Electric Standard","Electricity","Charleston Muni","F9 B9 L9 R9","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",32.8,61.41,3.6,140,634,489,259.5,0.916
"2663","Hour7","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","78","No","0F","None","None","20% Leakage, R-4","400%+","2500-2999","2500-3999","Slab","2 Car","2","2","None","Brick","No","Electricity","75","Yes","3F","Night +4h","100% Usage","AC, SEER 13","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","200000+","140000+","150000+","15 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-11","100% CFL","None","None","None","None","None","None","None","None","None","None","4","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 17.6, 100% Usage","Tile, Concrete","Medium","Occupied","1990s","1980-99","Electric Standard","Electricity","Charleston Muni","F9 B9 L9 R9","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",31.1,61.39,4.6,190,667,564.5,228,0.792
"2663","Hour7","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","78","No","0F","None","None","20% Leakage, R-4","400%+","2500-2999","2500-3999","Slab","2 Car","2","2","None","Brick","No","Electricity","75","Yes","3F","Night +4h","100% Usage","AC, SEER 13","80% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","200000+","140000+","150000+","15 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Brick, 12-in, 3-wythe, R-11","100% CFL","None","None","None","None","None","None","None","None","None","None","4","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour18","EF 17.6, 100% Usage","Tile, Concrete","Medium","Occupied","1990s","1980-99","Electric Standard","Electricity","Charleston Muni","F9 B9 L9 R9","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",24.43,87.61,5.47,36.67,136,2.5,134.5,0.545
"2663","Hour4","3","None","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Electric, 120% Usage","72","No","0F","None","None","20% Leakage, R-6","150-200%","2500-2999","2500-3999","Vented Crawlspace","None","2","2","Vinyl, Light","Brick","No","Electricity","68","No","0F","None","200% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","30000-34999","20000-39999","20000-39999","8 ACH50","R-30","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Brick, 12-in, 3-wythe, R-11","100% Incandescent","None","None","None","None","None","None","None","None","None","Typical Efficiency","2","South","200%","In metro area, not/partially in principal city","None","None","Hour7","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","2000s","2000-09","Electric Standard","Electricity","Charleston Muni","F9 B9 L9 R9","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",32.2,61.64,5.1,190,701,667.5,180,1.442
"2663","Hour4","3","None","Electric, 120% Usage","EnergyStar, 120% Usage","Yes","Electric, 120% Usage","72","No","0F","None","None","20% Leakage, R-6","150-200%","2500-2999","2500-3999","Vented Crawlspace","None","2","2","Vinyl, Light","Brick","No","Electricity","68","No","0F","None","200% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","30000-34999","20000-39999","20000-39999","8 ACH50","R-30","Ceiling R-19","Uninsulated","Uninsulated","Unfinished, Uninsulated","None","Brick, 12-in, 3-wythe, R-11","100% Incandescent","None","None","None","None","None","None","None","None","None","Typical Efficiency","2","South","200%","In metro area, not/partially in principal city","None","None","Hour7","EF 17.6, 100% Usage","Composition Shingles","High","Occupied","2000s","2000-09","Electric Standard","Electricity","Charleston Muni","F9 B9 L9 R9","Double, Clear, Metal, Air","MSHP, SEER 24, 13 HSPF",35,41.54,2.6,160,738,736.5,164.5,1.287
"2176","Hour5","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","70","No","0F","None","None","30% Leakage, R-8","200-300%","2000-2499","1500-2499","Slab","2 Car","2","2","Vinyl, Light","Wood Frame","No","Electricity","65","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","60000-69999","60000-79999","60000-99999","10 ACH50","R-19","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, R-11","100% CFL","EF 15.9","None","None","None","None","None","None","None","None","None","5","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour15","EF 15.9, 100% Usage","Composition Shingles","Medium","Occupied","2000s","2000-09","Electric Standard","Electricity","Myrtle Beach Civ","F9 B9 L9 R9","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",30,72,4.1,140,731,796.5,118.5,1.702
"2176","Hour5","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","70","No","0F","None","None","30% Leakage, R-8","200-300%","2000-2499","1500-2499","Slab","2 Car","2","2","Vinyl, Light","Wood Frame","No","Electricity","65","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","60000-69999","60000-79999","60000-99999","10 ACH50","R-19","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, R-11","100% CFL","EF 15.9","None","None","None","None","None","None","None","None","None","5","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour15","EF 15.9, 100% Usage","Composition Shingles","Medium","Occupied","2000s","2000-09","Electric Standard","Electricity","Myrtle Beach Civ","F9 B9 L9 R9","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",26.7,90.42,2.1,230,88,0,88,1.049
"2176","Hour5","4","Standard Efficiency","Electric, 100% Usage","EnergyStar, 100% Usage","Yes","Electric, 100% Usage","70","No","0F","None","None","30% Leakage, R-8","200-300%","2000-2499","1500-2499","Slab","2 Car","2","2","Vinyl, Light","Wood Frame","No","Electricity","65","No","0F","None","100% Usage","AC, SEER 15","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","60000-69999","60000-79999","60000-99999","10 ACH50","R-19","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, R-11","100% CFL","EF 15.9","None","None","None","None","None","None","None","None","None","5","Northeast","100%","In metro area, not/partially in principal city","None","None","Hour15","EF 15.9, 100% Usage","Composition Shingles","Medium","Occupied","2000s","2000-09","Electric Standard","Electricity","Myrtle Beach Civ","F9 B9 L9 R9","Double, Clear, Non-metal, Air","MSHP, SEER 24, 13 HSPF",23.9,87.51,1.5,190,113.5,2,112,0.791
"1220","Hour4","2","Standard Efficiency","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","78","No","0F","None","318 Rated kWh, 100% Usage","20% Leakage, R-4","0-100%","1000-1499","0-1499","Slab","1 Car","1","1","Vinyl, Light","Wood Frame","No","Electricity","65","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","10000-14999","<20000","<20000","15 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, R-11","100% LED","EF 17.6","None","None","None","None","None","None","None","None","Typical Efficiency","1","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour14","EF 17.6, 100% Usage","Composition Shingles","Medium","Occupied","1990s","1980-99","Electric Standard","Electricity","Charleston Muni","F12 B12 L12 R12","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",24.7,87.61,0,200,139.5,3.5,137,0.43
"1220","Hour4","2","Standard Efficiency","Electric, 100% Usage","Standard, 100% Usage","Yes","Electric, 100% Usage","78","No","0F","None","318 Rated kWh, 100% Usage","20% Leakage, R-4","0-100%","1000-1499","0-1499","Slab","1 Car","1","1","Vinyl, Light","Wood Frame","No","Electricity","65","No","0F","None","100% Usage","AC, SEER 13","100% Conditioned","Central AC","Yes","No","Electric Furnace, 100% AFUE","Ducted Heating","Electricity Electric Furnace","10000-14999","<20000","<20000","15 ACH50","R-30","None","None","None","Unfinished, Uninsulated","Uninsulated","Wood Stud, R-11","100% LED","EF 17.6","None","None","None","None","None","None","None","None","Typical Efficiency","1","Northwest","100%","In metro area, not/partially in principal city","None","None","Hour14","EF 17.6, 100% Usage","Composition Shingles","Medium","Occupied","1990s","1980-99","Electric Standard","Electricity","Charleston Muni","F12 B12 L12 R12","Double, Low-E, Non-metal, Air, M-Gain","MSHP, SEER 24, 13 HSPF",28.3,72.13,6.45,215,375.5,126,274.5,0.572
